  1.42E-01	 -6.00E-01	  2.63E+00	       0.7	      0.75	      0.56	       0.0	       0.0	      -0.0	      -1.0	       0.0
 -1.42E-01	 -6.00E-01	  2.63E+00	       0.7	      0.75	      0.56	       1.0	       0.0	      -0.0	      -1.0	       0.0
 -9.84E-02	 -6.00E-01	  2.58E+00	       0.7	      0.75	      0.56	       1.0	       1.0	      -0.0	      -1.0	       0.0
  9.84E-02	 -6.00E-01	  2.58E+00	       0.7	      0.75	      0.56	       0.0	       1.0	      -0.0	      -1.0	       0.0
 -1.42E-01	 -6.00E-01	  2.63E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
 -1.42E-01	 -6.00E-01	  2.34E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
 -9.84E-02	 -6.00E-01	  2.39E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
 -9.84E-02	 -6.00E-01	  2.58E+00	       0.7	      0.75	      0.56	       0.0	       1.0	       0.0	      -1.0	       0.0
 -1.42E-01	 -6.00E-01	  2.34E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
  1.42E-01	 -6.00E-01	  2.34E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
  9.84E-02	 -6.00E-01	  2.39E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
 -9.84E-02	 -6.00E-01	  2.39E+00	       0.7	      0.75	      0.56	       0.0	       1.0	       0.0	      -1.0	       0.0
  1.42E-01	 -6.00E-01	  2.34E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
  1.42E-01	 -6.00E-01	  2.63E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
  9.84E-02	 -6.00E-01	  2.58E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
